iterations,average,min,max
513,47915.09,43037,54241
514,47881.22,42847,54241
515,47854.74,42754,54241
516,47834.23,42495,54241
517,47819.77,42495,54241
518,47794.57,42495,54241
519,47778,42403,54241
520,47768.76,42403,54241
521,47740.51,42403,54241
522,47721.92,42403,54241
523,47694.85,42403,54241
524,47684.42,42403,54065
525,47650.17,42403,54065
526,47632.11,42355,54059
527,47617.1,42355,54059
528,47606.92,42355,53986
529,47577.07,42355,53957
530,47556.02,42355,53957
531,47539.97,42275,53957
532,47522.34,42275,53957
533,47498.54,42209,53957
534,47474.19,42209,53957
535,47440.39,42209,53490
536,47428.31,42209,53490
537,47394.58,42209,53482
538,47378.15,42209,53482
539,47358.34,42209,53482
540,47341.95,42209,53482
541,47324.28,42209,53482
542,47293.32,42209,53482
543,47263.37,42188,53482
544,47249.99,41995,53482
545,47238.95,41995,53482
546,47212.32,41995,53482
547,47202.74,41995,53482
548,47163.9,41995,53482
549,47149.32,41995,53482
550,47127.25,41995,53482
551,47115.05,41759,53482
552,47097.25,41754,53482
553,47070.4,41485,53482
554,47057.49,41485,53482
555,47019.32,41485,53482
556,47004.05,41485,53482
557,46991.24,41485,53482
558,46957,41421,53482
559,46944.05,41421,53482
560,46928.81,41421,53482
561,46913.79,41421,53482
562,46900.17,41307,53482
563,46887.98,41307,53449
564,46874.09,41307,53449
565,46857.5,41267,53449
566,46849.68,41267,53449
567,46837.8,41267,53449
568,46821.42,41267,53449
569,46809.68,41267,53430
570,46801.98,41262,53430
571,46770.77,41234,52914
572,46738.38,40829,52914
573,46724,40829,52914
574,46697.55,40829,52914
575,46687.16,40713,52914
576,46669.88,40713,52914
577,46638.49,40713,52900
578,46625.57,40713,52900
579,46606.89,40713,52900
580,46591.21,40713,52900
581,46579.85,40713,52900
582,46549.81,40713,52898
583,46534.43,40713,52898
584,46519.33,40713,52898
585,46494.05,40713,52898
586,46469.51,40713,52471
587,46460.32,40713,52471
588,46444.87,40713,52471
589,46427.78,40713,52471
590,46404.47,40713,52471
591,46379.36,40651,52471
592,46353.94,40147,52471
593,46334.28,39848,52471
594,46314.14,39848,52471
595,46294.37,39848,52471
596,46267.83,39848,52433
597,46238.02,39848,52433
598,46224.95,39848,52433
599,46200.53,39848,52433
600,46176.37,39848,52433
601,46168.56,39848,52433
602,46156.13,39848,52433
603,46136.44,39848,52433
604,46119.41,39848,52433
605,46105.67,39848,52433
606,46086.78,39815,52433
607,46075.76,39814,52433
608,46055.9,39814,52433
609,46037.1,39814,52433
610,46014.21,39814,52433
611,45996.32,39814,52433
612,45970.93,39814,52433
613,45949.32,39814,52433
614,45931.46,39814,52433
615,45902.74,39814,52433
616,45872.87,39814,52337
617,45860.39,39814,52337
618,45849.84,39814,52337
619,45818.36,39814,52337
620,45795.34,39652,52337
621,45783.31,39652,52337
622,45764.92,39652,52337
623,45741.6,39652,52327
624,45729.59,39652,52327
625,45713.02,39652,52327
626,45694.87,39339,52327
627,45683.73,39339,52327
628,45671.74,39339,52327
629,45650.01,39339,52327
630,45640.45,39326,52327
631,45630.33,39326,52327
632,45616.57,39326,52154
633,45604.24,39326,52081
634,45587.19,39326,52081
635,45579.52,39326,52081
636,45573.46,39326,52081
637,45560.98,39301,52081
638,45545.5,39301,52081
639,45530.11,39301,52081
640,45499.51,39301,52081
641,45480.25,39301,52081
642,45467.78,39301,52081
643,45454.92,39301,52081
644,45439.31,39301,52081
645,45419.94,39301,52081
646,45410.08,39301,52081
647,45389.38,39301,52081
648,45373.06,39301,52081
649,45366.22,39301,52081
650,45347.57,39301,52081
651,45333.69,39301,52081
652,45309.58,39297,52081
653,45290.51,39296,52081
654,45255.26,39296,52081
655,45241.83,39280,52081
656,45224.39,39280,52081
657,45205.92,39277,52081
658,45200.14,39277,52081
659,45167.03,39277,52056
660,45140.31,39277,52048
661,45128.68,39277,52048
662,45118.87,39277,52048
663,45105.05,39277,52048
664,45093.34,39277,51908
665,45066.52,39277,51908
666,45056.69,39277,51883
667,45046.86,39277,51883
668,45024.4,39277,51883
669,45009.13,39277,51843
670,44982.56,39275,51843
671,44971.05,39275,51843
672,44953.71,39275,51843
673,44943.9,39275,51843
674,44931.82,39275,51843
675,44910.67,39275,51843
676,44897.86,39275,51843
677,44877.98,39275,51843
678,44866.77,39166,51843
679,44853.42,39166,51610
680,44835.66,39028,51610
681,44812.68,39028,51570
682,44803.39,39014,51547
683,44787.77,39014,51274
684,44766.5,39014,51274
685,44749.95,39014,51274
686,44727.81,39014,51274
687,44716.43,39014,51274
688,44709.31,39014,51274
689,44693.9,39014,51274
690,44670.63,39014,51274
691,44654.62,39014,51274
692,44644.89,39014,51274
693,44628.46,39014,51274
694,44617.6,39014,51274
695,44605.96,39014,51274
696,44596.41,39014,51274
697,44582.17,39014,51274
698,44564.61,39014,51274
699,44544.14,39014,51274
700,44529.95,39014,51274
701,44519.9,39014,51274
702,44506.89,39014,51274
703,44496.27,39014,51274
704,44478.21,39014,51090
705,44460.59,39014,51090
706,44442.54,39003,51090
707,44429.99,39003,51082
708,44414.51,39003,51082
709,44400.07,39003,51082
710,44387.32,39003,51082
711,44376.99,38820,51082
712,44365.29,38780,51082
713,44354.06,38780,51082
714,44327.19,38761,50873
715,44316.1,38761,50873
716,44309,38761,50873
717,44298.62,38761,50759
718,44287.05,38761,50663
719,44278.48,38761,50663
720,44270.57,38761,50663
721,44242.77,38755,50663
722,44233.69,38755,50663
723,44215.4,38755,50663
724,44202.1,38755,50461
725,44186.2,38755,50461
726,44180.37,38755,50461
727,44161.41,38738,50461
728,44151.43,38738,50461
729,44140.64,38738,50461
730,44127.49,38738,50461
731,44111.55,38738,50461
732,44097.31,38730,50461
733,44088.56,38730,50461
734,44063.6,38538,50461
735,44052.12,38538,50461
736,44042.98,38538,50461
737,44032.8,38538,50461
738,44019.13,38536,50199
739,44009.93,38530,50199
740,43998.24,38530,50199
741,43995.11,38530,50199
742,43983.48,38530,50199
743,43959.2,38530,50199
744,43938.35,38524,50199
745,43928.12,38524,50199
746,43922.53,38524,50137
747,43907.93,38524,50137
748,43883.87,38524,50137
749,43872.09,38524,50137
750,43863.41,38524,50137
751,43850.58,38522,50137
752,43831.38,38522,50137
753,43821.45,38522,50137
754,43808.59,38522,50137
755,43796.71,38352,50137
756,43789.64,38352,50137
757,43773.87,38352,50137
758,43769.94,38323,50137
759,43749.6,38323,50137
760,43736.57,38323,50137
761,43725.14,38323,50066
762,43705.18,38323,50066
763,43697.07,38323,50066
764,43692.89,38323,50066
765,43684.09,38323,50066
766,43658.45,38323,50066
767,43652.95,38323,50066
768,43633.83,38323,50066
769,43614.34,38323,50066
770,43603.29,38323,50066
771,43586.84,38323,50066
772,43578.8,38323,50057
773,43568.77,38323,50051
774,43557.24,38323,50051
775,43541.28,38323,50051
776,43531.71,38323,50051
777,43519.37,38323,50051
778,43515.27,38323,50051
779,43503.75,38323,50051
780,43493.29,38323,50051
781,43483.04,38323,50051
782,43477.76,38323,50039
783,43467.23,38323,50039
784,43452.18,38323,50039
785,43443.95,38323,50039
786,43439.17,38323,50039
787,43425.15,38323,49972
788,43406.66,38323,49972
789,43386.52,38293,49947
790,43371.11,38293,49947
791,43358.95,38293,49947
792,43342.6,38293,49947
793,43331.26,38293,49927
794,43321.35,38293,49927
795,43310.84,38293,49927
796,43299.05,38293,49872
797,43284.68,38293,49872
798,43265.24,38293,49872
799,43243.05,38035,49872
800,43230.38,38035,49079
801,43213.18,38035,49079
802,43206.84,38035,49079
803,43196.86,38035,49079
804,43183.8,38035,49079
805,43174.97,38030,49079
806,43165.43,38030,49079
807,43145.32,38030,49079
808,43135.42,37992,49079
809,43119.18,37992,49079
810,43097.16,37992,49079
811,43090.79,37992,49079
812,43061.96,37992,49079
813,43044.99,37992,49079
814,43035.95,37991,49079
815,43018.7,37991,49079
816,43007.92,37720,49079
817,42997.58,37720,49079
818,42983.96,37720,49079
819,42971.48,37720,49079
820,42950.4,37720,49079
821,42933.78,37720,49079
822,42924.6,37720,49079
823,42916.65,37720,49079
824,42909.82,37720,49079
825,42897.61,37720,49079
826,42889.29,37656,49079
827,42876.61,37621,49079
828,42862.47,37621,49079
829,42852.66,37621,49079
830,42842.8,37621,49079
831,42832.29,37621,49079
832,42826.63,37621,49079
833,42816.09,37621,49079
834,42792.51,37621,49079
835,42781.53,37621,49079
836,42762.92,37621,49079
837,42751.62,37621,49079
838,42743.52,37621,49079
839,42734.09,37621,49079
840,42723.2,37618,49079
841,42709.67,37615,49079
842,42701.28,37615,49079
843,42692.79,37615,49079
844,42680.28,37615,49079
845,42667.06,37615,49076
846,42653.63,37615,49076
847,42641.58,37615,49076
848,42627.87,37615,49076
849,42621.76,37615,49076
850,42606.06,37615,49076
851,42593.63,37615,49076
852,42582.85,37615,49076
853,42570.91,37615,49076
854,42553.54,37615,49076
855,42543.85,37601,49076
856,42529.43,37601,49076
857,42507.51,37601,48786
858,42492.31,37601,48786
859,42485.33,37601,48786
860,42469.86,37601,48786
861,42463.53,37595,48786
862,42457.37,37595,48786
863,42443.15,37595,48786
864,42426.39,37595,48786
865,42417.73,37595,48786
866,42403.67,37570,48786
867,42392.51,37570,48786
868,42374.42,37570,48786
869,42362.99,37570,48786
870,42346.36,37570,48759
871,42333.97,37570,48759
872,42318.16,37570,48759
873,42305.38,37570,48759
874,42298.18,37570,48741
875,42292.13,37551,48741
876,42278.96,37551,48741
877,42271.01,37551,48741
878,42258.76,37551,48741
879,42238.31,37551,48741
880,42228.72,37548,48741
881,42217.48,37548,48741
882,42204.34,37548,48741
883,42193.88,37538,48741
884,42184.39,37538,48741
885,42171.65,37538,48741
886,42167.81,37538,48741
887,42155.89,37538,48741
888,42145.82,37538,48741
889,42131.06,37538,48741
890,42117.36,37538,48741
891,42107.1,37538,48741
892,42090.99,37538,48741
893,42081.71,37538,48741
894,42068.83,37538,48741
895,42057.93,37538,48741
896,42041.33,37538,48741
897,42026.74,37538,48741
898,42005.73,37519,48741
899,41995.21,37519,48741
900,41980.07,37519,48741
901,41964.65,37513,48741
902,41958.73,37494,48741
903,41954.52,37494,48741
904,41938.78,37494,48741
905,41925.07,37494,48741
906,41908.28,37494,48741
907,41905.97,37459,48741
908,41900.45,37459,48741
909,41890.44,37459,48489
910,41884.38,37459,48489
911,41869.22,37459,48489
912,41858.22,37396,48489
913,41849.79,37396,48489
914,41837.75,37213,48489
915,41826.73,37213,48489
916,41823.89,37213,48482
917,41820.17,37213,48482
918,41810.92,37213,48482
919,41803.95,37213,48482
920,41793.78,37213,48482
921,41775.93,37213,48404
922,41770.68,37213,48404
923,41755.14,37213,48404
924,41740.24,37060,48404
925,41718.56,37060,48404
926,41704.79,37060,48388
927,41697.43,37060,48388
928,41689.75,37060,48264
929,41678.68,37060,48264
930,41675.19,37060,48264
931,41668.69,37060,48264
932,41657.31,37060,48264
933,41645.65,37060,48055
934,41635.47,37060,48055
935,41623.03,37060,48055
936,41615.53,37060,48055
937,41607.7,37060,48055
938,41593.1,37060,48055
939,41582.37,37060,48055
940,41568.36,37060,48055
941,41559.65,37060,48055
942,41553.74,37060,48055
943,41542.78,37060,48055
944,41529.31,37060,48055
945,41520.14,37060,48055
946,41515.46,37058,48055
947,41508.5,37058,48055
948,41504.13,37058,47843
949,41486.91,37058,47843
950,41474.44,37058,47843
951,41465.01,37056,47843
952,41450.62,37056,47843
953,41445.01,37056,47843
954,41425.63,37056,47843
955,41417.27,37056,47843
956,41412.68,37056,47843
957,41410.54,37056,47843
958,41395.15,37056,47843
959,41387.76,37056,47843
960,41382.68,37056,47843
961,41370.18,37056,47652
962,41357.38,37056,47652
963,41338.55,37056,47652
964,41317.02,37056,47322
965,41312.26,37056,47322
966,41306.47,37036,47322
967,41302.2,37036,47322
968,41297.93,37036,47322
969,41285.79,37036,47322
970,41274.1,37001,47322
971,41262.58,36994,47322
972,41253.22,36992,47322
973,41245.89,36909,47322
974,41240.06,36909,47322
975,41235.29,36909,47322
976,41225.67,36909,47322
977,41219.55,36909,47322
978,41211.88,36909,47322
979,41198.88,36909,47322
980,41183.04,36909,47313
981,41175.54,36909,47313
982,41168.95,36909,47302
983,41151.29,36909,47302
984,41131,36909,47302
985,41125.68,36909,47263
986,41113.78,36832,47263
987,41102.78,36832,47263
988,41090.08,36832,47263
989,41081.89,36832,47263
990,41071.64,36832,47263
991,41070.54,36832,47263
992,41061.93,36832,47263
993,41054.99,36804,47263
994,41036.81,36804,47263
995,41028.79,36804,47263
996,41017.93,36804,47263
997,41013.97,36804,47263
998,41004.56,36804,47263
999,40995.68,36804,47263
1000,40993.91,36804,47261
1001,40987.69,36804,47261
